epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.488,1.1532,1.23638,1.35877,0.66555,0.68115,0.68691,0.42142,1.31621,1.2468,1.46905,0.0671089,0.000332233,0.000332233
2,429.982,1.1115,1.2029,1.32066,0.6445,0.69769,0.68338,0.43104,1.28466,1.2127,1.43929,0.0340775,0.00063419,0.00063419
3,645.609,1.10282,1.17662,1.32277,0.6521,0.69382,0.68754,0.4289,1.29111,1.22146,1.43525,0.00101473,0.000904718,0.000904718
4,830.099,1.04254,1.10247,1.27091,0.62765,0.70814,0.67211,0.42377,1.29377,1.22933,1.44536,0.000858571,0.000858571,0.000858571
5,1015.39,1.02369,1.0408,1.25395,0.62792,0.69835,0.68879,0.42367,1.30887,1.25026,1.45549,0.000811429,0.000811429,0.000811429
6,1200.45,0.99497,0.98514,1.24141,0.64134,0.68993,0.68757,0.42218,1.30784,1.22943,1.45509,0.000764286,0.000764286,0.000764286
7,1385.62,0.96942,0.96193,1.21867,0.62404,0.6916,0.66761,0.41442,1.3102,1.26056,1.47089,0.000717143,0.000717143,0.000717143
8,1583.34,0.96067,0.92437,1.20345,0.66396,0.68266,0.68935,0.42835,1.30981,1.24616,1.4623,0.00067,0.00067,0.00067
9,1794.36,0.94521,0.86939,1.18838,0.67563,0.66018,0.69049,0.42607,1.30889,1.2503,1.46926,0.000622857,0.000622857,0.000622857
10,2001.92,0.92107,0.84879,1.17843,0.65633,0.68069,0.6802,0.41943,1.31075,1.25432,1.47434,0.000575714,0.000575714,0.000575714
11,2211.39,0.89784,0.81626,1.16304,0.6452,0.68254,0.68029,0.41944,1.31943,1.26269,1.47758,0.000528571,0.000528571,0.000528571
12,2421.11,0.90191,0.7918,1.17537,0.6451,0.68901,0.6889,0.4234,1.32547,1.26158,1.47599,0.000481429,0.000481429,0.000481429
13,2635.31,0.87041,0.75441,1.14763,0.65617,0.65975,0.65922,0.40723,1.33117,1.31358,1.48933,0.000434286,0.000434286,0.000434286
14,2855.36,0.86405,0.76802,1.13766,0.6417,0.68294,0.67485,0.41629,1.31826,1.29381,1.4853,0.000387143,0.000387143,0.000387143
15,3060.72,0.84708,0.7408,1.13219,0.64971,0.67228,0.66735,0.4168,1.3183,1.29114,1.48604,0.00034,0.00034,0.00034
16,3272.4,0.82997,0.70917,1.11972,0.65017,0.67034,0.66768,0.41545,1.31472,1.2985,1.48387,0.000292857,0.000292857,0.000292857
17,3473.02,0.82542,0.70475,1.1213,0.64056,0.68675,0.67315,0.41783,1.31431,1.28858,1.48306,0.000245714,0.000245714,0.000245714
18,3671.26,0.81944,0.6811,1.11178,0.65227,0.69246,0.67745,0.42188,1.31697,1.28351,1.48062,0.000198571,0.000198571,0.000198571
19,3874.01,0.8106,0.68975,1.10213,0.63294,0.68463,0.66363,0.4113,1.32005,1.30885,1.48068,0.000151429,0.000151429,0.000151429
20,4076.02,0.81264,0.67819,1.09212,0.63386,0.68984,0.66506,0.41342,1.31829,1.30859,1.48541,0.000104286,0.000104286,0.000104286
21,4282.7,0.80214,0.68501,1.10459,0.64858,0.66921,0.6663,0.41667,1.31381,1.30176,1.47986,5.71429e-05,5.71429e-05,5.71429e-05
