epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.474,1.25194,1.62161,1.4719,0.53001,0.57956,0.53733,0.31668,1.39396,1.62708,1.55489,0.0671089,0.000332233,0.000332233
2,384.071,1.22911,1.57426,1.45024,0.51456,0.5715,0.53479,0.31564,1.39158,1.67651,1.55616,0.0340775,0.00063419,0.00063419
3,574.234,1.19778,1.51817,1.42621,0.51363,0.58332,0.5286,0.31312,1.3799,1.61919,1.54109,0.00101473,0.000904718,0.000904718
4,757.623,1.18168,1.46109,1.40902,0.54472,0.57201,0.53793,0.31954,1.40773,1.61891,1.54755,0.000858571,0.000858571,0.000858571
5,942.217,1.14371,1.40866,1.37638,0.53271,0.5693,0.53636,0.31933,1.39081,1.61455,1.5502,0.000811429,0.000811429,0.000811429
6,1126.62,1.10601,1.30307,1.34062,0.54677,0.57566,0.5444,0.3216,1.39754,1.58579,1.55214,0.000764286,0.000764286,0.000764286
7,1311.15,1.09324,1.23023,1.33849,0.56276,0.57954,0.5566,0.32985,1.39758,1.57138,1.55355,0.000717143,0.000717143,0.000717143
8,1495.95,1.07798,1.18329,1.32254,0.547,0.58672,0.55813,0.33359,1.39974,1.57388,1.55078,0.00067,0.00067,0.00067
9,1680.56,1.04071,1.14881,1.28581,0.55673,0.59884,0.56269,0.3345,1.38803,1.55065,1.54717,0.000622857,0.000622857,0.000622857
10,1875.13,1.02556,1.09422,1.28455,0.55403,0.58262,0.55211,0.32715,1.40592,1.57162,1.55212,0.000575714,0.000575714,0.000575714
11,2071.82,1.00169,1.06452,1.26625,0.57093,0.59404,0.5785,0.34149,1.39026,1.53808,1.54477,0.000528571,0.000528571,0.000528571
12,2274.11,0.99068,1.03301,1.26056,0.57681,0.58519,0.57411,0.34045,1.39416,1.51875,1.53478,0.000481429,0.000481429,0.000481429
13,2468.99,0.96227,0.98764,1.23454,0.56664,0.6026,0.57768,0.3457,1.39348,1.50561,1.53655,0.000434286,0.000434286,0.000434286
14,2652.57,0.94925,0.96484,1.23295,0.5731,0.61559,0.57986,0.34821,1.38614,1.52087,1.53098,0.000387143,0.000387143,0.000387143
15,2844.15,0.93899,0.94491,1.21276,0.5729,0.61728,0.57378,0.34008,1.3944,1.53019,1.54552,0.00034,0.00034,0.00034
16,3037.36,0.91462,0.90375,1.20206,0.55672,0.63225,0.57568,0.3394,1.39544,1.54556,1.55062,0.000292857,0.000292857,0.000292857
17,3230.73,0.90555,0.88808,1.19888,0.58854,0.61415,0.58598,0.35156,1.38784,1.51203,1.54515,0.000245714,0.000245714,0.000245714
18,3423.98,0.91216,0.87712,1.19774,0.57929,0.61366,0.57596,0.34446,1.39193,1.53193,1.5532,0.000198571,0.000198571,0.000198571
19,3617.91,0.89495,0.84274,1.18075,0.58058,0.61899,0.58368,0.3483,1.38625,1.51486,1.54584,0.000151429,0.000151429,0.000151429
20,3811.47,0.88715,0.85458,1.17257,0.57815,0.61963,0.58193,0.34999,1.38755,1.52423,1.55251,0.000104286,0.000104286,0.000104286
21,4005.48,0.88649,0.84167,1.17523,0.57462,0.61925,0.57788,0.34531,1.38633,1.53239,1.54942,5.71429e-05,5.71429e-05,5.71429e-05
