epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.628,1.17285,1.31554,1.39443,0.6308,0.65616,0.67552,0.41224,1.30093,1.28143,1.44143,0.0671089,0.000332233,0.000332233
2,389.45,1.15949,1.28984,1.37346,0.62973,0.6601,0.66991,0.40887,1.29215,1.277,1.43563,0.0340775,0.00063419,0.00063419
3,575.417,1.14017,1.25199,1.35876,0.60759,0.69001,0.68015,0.41515,1.30033,1.27205,1.43221,0.00101473,0.000904718,0.000904718
4,759.868,1.09144,1.14018,1.32103,0.6534,0.67069,0.68102,0.41761,1.30028,1.25986,1.43449,0.000858571,0.000858571,0.000858571
5,946.654,1.08511,1.11542,1.31044,0.6345,0.66836,0.67796,0.41959,1.31289,1.2734,1.44253,0.000811429,0.000811429,0.000811429
6,1135.38,1.05772,1.07631,1.27457,0.63623,0.67875,0.68574,0.41906,1.31849,1.26432,1.45022,0.000764286,0.000764286,0.000764286
7,1322.08,1.02551,1.02545,1.26357,0.63369,0.6661,0.6694,0.40263,1.32718,1.30606,1.45598,0.000717143,0.000717143,0.000717143
8,1509.33,0.9975,0.9727,1.24784,0.63385,0.67396,0.67793,0.41615,1.31327,1.29218,1.46404,0.00067,0.00067,0.00067
9,1700.28,0.97619,0.9445,1.23611,0.62566,0.68252,0.67996,0.41416,1.31817,1.27365,1.45599,0.000622857,0.000622857,0.000622857
10,1889.37,0.96404,0.92693,1.21157,0.63587,0.6632,0.67956,0.40794,1.31848,1.29576,1.46826,0.000575714,0.000575714,0.000575714
11,2082.97,0.9424,0.88927,1.20646,0.66181,0.67325,0.68122,0.41233,1.33464,1.27468,1.48038,0.000528571,0.000528571,0.000528571
12,2289.04,0.93798,0.86526,1.20332,0.6517,0.67765,0.6831,0.418,1.33564,1.28131,1.47044,0.000481429,0.000481429,0.000481429
13,2484.22,0.90845,0.81028,1.1742,0.62799,0.67255,0.66965,0.40823,1.34593,1.30901,1.48248,0.000434286,0.000434286,0.000434286
14,2682.54,0.90162,0.81063,1.16252,0.61955,0.69348,0.66185,0.40364,1.34171,1.3127,1.48504,0.000387143,0.000387143,0.000387143
15,2874.31,0.88745,0.78352,1.16225,0.6349,0.6836,0.66217,0.40354,1.33229,1.31145,1.48116,0.00034,0.00034,0.00034
16,3072.48,0.88669,0.77411,1.15244,0.63489,0.69671,0.67722,0.41587,1.3325,1.28048,1.48035,0.000292857,0.000292857,0.000292857
17,3278.89,0.87866,0.76748,1.15438,0.65584,0.68548,0.67954,0.41758,1.33192,1.27671,1.48078,0.000245714,0.000245714,0.000245714
18,3481.24,0.85488,0.74781,1.13697,0.63005,0.68896,0.67598,0.41353,1.33801,1.28837,1.49298,0.000198571,0.000198571,0.000198571
19,3679.18,0.85158,0.71994,1.12987,0.67144,0.66433,0.68038,0.42045,1.33117,1.27779,1.49092,0.000151429,0.000151429,0.000151429
20,3875.69,0.84931,0.72018,1.13719,0.658,0.67829,0.68166,0.42054,1.33184,1.27307,1.48665,0.000104286,0.000104286,0.000104286
21,4090.94,0.84527,0.7305,1.14133,0.66427,0.66223,0.67563,0.41615,1.33201,1.28244,1.4866,5.71429e-05,5.71429e-05,5.71429e-05
